name,Port,Port Name,Bytes (In Bytes),Protocol,Source VM,Source Cluster,Source Host,Source IP Address,Destination VM,Destination Cluster,Destination Host,Destination IP Address
10.221.81.84(obi-router) -> 10.221.81.3 [port:67],67,bootps,1312.0,UDP,obi-router,Cluster-1,10.221.162.4,10.221.81.84,,,,10.221.81.3
10.221.81.118(TcServer-mcm52129-150870363401) -> 10.221.81.66(SQLFireLocator-mcm52126-150870354692) [port:1527],1527,,2496.0,TCP,TcServer-mcm52129-150870363401,Cluster-1,10.221.162.4,10.221.81.118,SQLFireLocator-mcm52126-150870354692,Cluster-1,10.221.162.4,10.221.81.66
"10.221.81.194(tmd01) -> 139.99.222.72(Sydney, AU) [port:123]",123,ntp,10792.0,UDP,tmd01,Cluster-1,10.221.162.4,10.221.81.194,,,,139.99.222.72
"10.221.81.194(tmd01) -> 40.90.189.152(Singapore, SG) [port:443]",443,https,32471.0,TCP,tmd01,Cluster-1,10.221.162.4,10.221.81.194,,,,40.90.189.152
10.221.81.191(vrni-proxy) -> 10.221.172.3(NSX-Manager-2) [port:22],22,ssh,120.0,TCP,vrni-proxy,Cluster-1,10.221.162.4,10.221.81.191,NSX-Manager-2,Cluster-1,10.221.162.4,10.221.172.3
"10.221.81.202(vROpsCloudProxy) -> 13.55.238.141(Sydney, AU) [port:443]",443,https,4.569975E7,TCP,vROpsCloudProxy,Cluster-1,10.221.162.4,10.221.81.202,,,,13.55.238.141
10.221.81.117(TcServer-mcm52128-150870363401) -> 10.221.81.83(SQLFireServer-mcm52127-150870358386) [port:1528],1528,,3.0342924E7,TCP,TcServer-mcm52128-150870363401,Cluster-1,10.221.162.4,10.221.81.117,SQLFireServer-mcm52127-150870358386,Cluster-1,10.221.162.4,10.221.81.83
10.221.81.83(SQLFireServer-mcm52127-150870358386) -> 10.221.81.66(SQLFireLocator-mcm52126-150870354692) [port:37688],37688,,2496.0,TCP,SQLFireServer-mcm52127-150870358386,Cluster-1,10.221.162.4,10.221.81.83,SQLFireLocator-mcm52126-150870354692,Cluster-1,10.221.162.4,10.221.81.66
10.221.81.192(vrni-platform) -> 107.154.251.105(US) [port:443],443,https,274562.0,TCP,vrni-platform,Cluster-1,10.221.162.4,10.221.81.192,,,,107.154.251.105
"10.221.81.190(vrni-proxy-v6) -> 44.240.91.71(Boardman, US) [port:443]",443,https,1782925.0,TCP,vrni-proxy-v6,Cluster-1,10.221.162.4,10.221.81.190,,,,44.240.91.71
"10.221.81.84(obi-router) -> 35.244.86.189(Sydney, AU) [port:443]",443,https,1.8037424E7,TCP,obi-router,Cluster-1,10.221.162.4,10.221.81.84,,,,35.244.86.189
"10.221.81.50(NetPerf02) -> 216.239.35.0(San Carlos, US) [port:123]",123,ntp,6384.0,UDP,NetPerf02,Cluster-1,10.221.162.4,10.221.81.50,,,,216.239.35.0
"10.221.81.201(CASProxy) -> 52.64.2.133(Sydney, AU) [port:443]",443,https,1.163751E7,TCP,CASProxy,Cluster-1,10.221.162.4,10.221.81.201,,,,52.64.2.133
10.221.81.114 -> 10.221.81.3 [port:67],67,bootps,1124712.0,UDP,,,,10.221.81.114,,,,10.221.81.3
"10.221.81.201(CASProxy) -> 54.253.218.35(Sydney, AU) [port:443]",443,https,3.7654469E7,TCP,CASProxy,Cluster-1,10.221.162.4,10.221.81.201,,,,54.253.218.35
10.221.81.201(CASProxy) -> 10.221.172.3(NSX-Manager-2) [port:443],443,https,1.0766914E7,TCP,CASProxy,Cluster-1,10.221.162.4,10.221.81.201,NSX-Manager-2,Cluster-1,10.221.162.4,10.221.172.3
10.221.81.194(tmd01) -> 13.107.13.93(US) [port:443],443,https,49020.0,TCP,tmd01,Cluster-1,10.221.162.4,10.221.81.194,,,,13.107.13.93
10.221.81.53(NetPerf01) -> 8.8.8.8(US) [port:53],53,dns,2152.0,UDP,NetPerf01,Cluster-1,10.221.162.4,10.221.81.53,,,,8.8.8.8
10.221.81.190(vrni-proxy-v6) -> 10.221.174.4(vcenter) [port:22],22,ssh,240.0,TCP,vrni-proxy-v6,Cluster-1,10.221.162.4,10.221.81.190,vcenter,Cluster-1,10.221.162.4,10.221.174.4
"10.221.81.191(vrni-proxy) -> 44.240.91.71(Boardman, US) [port:443]",443,https,1885613.0,TCP,vrni-proxy,Cluster-1,10.221.162.4,10.221.81.191,,,,44.240.91.71
10.221.81.204(avi-se-01) -> 10.221.81.203(AVIcontroller) [port:123],123,ntp,12464.0,UDP,avi-se-01,Cluster-1,10.221.162.4,10.221.81.204,AVIcontroller,Cluster-1,10.221.162.4,10.221.81.203
"10.221.81.194(tmd01) -> 52.139.250.253(Singapore, SG) [port:443]",443,https,28711.0,TCP,tmd01,Cluster-1,10.221.162.4,10.221.81.194,,,,52.139.250.253
"10.221.81.84(obi-router) -> 45.76.113.31(Alexandria, AU) [port:123]",123,ntp,16720.0,UDP,obi-router,Cluster-1,10.221.162.4,10.221.81.84,,,,45.76.113.31
10.221.81.53(NetPerf01) -> 23.202.168.4(US) [port:443],443,https,106164.0,TCP,NetPerf01,Cluster-1,10.221.162.4,10.221.81.53,,,,23.202.168.4
"10.221.81.203(AVIcontroller) -> 107.170.0.6(New York, US) [port:123]",123,ntp,12464.0,UDP,AVIcontroller,Cluster-1,10.221.162.4,10.221.81.203,,,,107.170.0.6
10.221.81.202(vROpsCloudProxy) -> 8.8.8.8(US) [port:53],53,dns,9488470.0,UDP,vROpsCloudProxy,Cluster-1,10.221.162.4,10.221.81.202,,,,8.8.8.8
10.221.81.190(vrni-proxy-v6) -> 35.166.179.139(US) [port:443],443,https,1271148.0,TCP,vrni-proxy-v6,Cluster-1,10.221.162.4,10.221.81.190,,,,35.166.179.139
"10.221.81.190(vrni-proxy-v6) -> 216.239.38.21(San Carlos, US) [port:80]",80,http,112595.0,TCP,vrni-proxy-v6,Cluster-1,10.221.162.4,10.221.81.190,,,,216.239.38.21
"10.221.81.190(vrni-proxy-v6) -> 52.88.53.101(Boardman, US) [port:443]",443,https,1270660.0,TCP,vrni-proxy-v6,Cluster-1,10.221.162.4,10.221.81.190,,,,52.88.53.101
10.221.81.194(tmd01) -> 172.217.25.163(US) [port:443],443,https,99302.0,UDP,tmd01,Cluster-1,10.221.162.4,10.221.81.194,,,,172.217.25.163
10.221.81.203(AVIcontroller) -> 169.254.169.254 [port:80],80,http,4560.0,TCP,AVIcontroller,Cluster-1,10.221.162.4,10.221.81.203,,,,169.254.169.254
"10.221.81.194(tmd01) -> 192.229.232.240(Los Angeles, US) [port:80]",80,http,329435.0,TCP,tmd01,Cluster-1,10.221.162.4,10.221.81.194,,,,192.229.232.240
10.221.81.192(vrni-platform) -> 35.166.179.139(US) [port:443],443,https,3484220.0,TCP,vrni-platform,Cluster-1,10.221.162.4,10.221.81.192,,,,35.166.179.139
"10.221.81.84(obi-router) -> 198.255.68.106(Los Angeles, US) [port:123]",123,ntp,12768.0,UDP,obi-router,Cluster-1,10.221.162.4,10.221.81.84,,,,198.255.68.106
10.221.81.50(NetPerf02) -> 10.221.81.3 [port:67],67,bootps,1302.0,UDP,NetPerf02,Cluster-1,10.221.162.4,10.221.81.50,,,,10.221.81.3
10.221.81.191(vrni-proxy) -> 35.166.179.139(US) [port:443],443,https,3198562.0,TCP,vrni-proxy,Cluster-1,10.221.162.4,10.221.81.191,,,,35.166.179.139
10.221.81.194(tmd01) -> 172.217.25.35(US) [port:443],443,https,244644.0,UDP,tmd01,Cluster-1,10.221.162.4,10.221.81.194,,,,172.217.25.35
10.221.81.195(tm01) -> 173.0.48.220(US) [port:123],123,ntp,12692.0,UDP,tm01,Cluster-1,10.221.162.4,10.221.81.195,,,,173.0.48.220
"10.221.81.194(tmd01) -> 216.58.200.99(Mountain View, US) [port:443]",443,https,44773.0,UDP,tmd01,Cluster-1,10.221.162.4,10.221.81.194,,,,216.58.200.99
"10.221.81.194(tmd01) -> 52.139.168.125(Central, HK) [port:443]",443,https,29861.0,TCP,tmd01,Cluster-1,10.221.162.4,10.221.81.194,,,,52.139.168.125
10.221.81.194(tmd01) -> 74.125.24.189(US) [port:443],443,https,13127.0,TCP,tmd01,Cluster-1,10.221.162.4,10.221.81.194,,,,74.125.24.189
"10.221.81.194(tmd01) -> 13.239.149.148(Sydney, AU) [port:443]",443,https,9.4545023E7,TCP,tmd01,Cluster-1,10.221.162.4,10.221.81.194,,,,13.239.149.148
10.221.81.194(tmd01) -> 184.29.15.238(US) [port:443],443,https,588580.0,TCP,tmd01,Cluster-1,10.221.162.4,10.221.81.194,,,,184.29.15.238
10.221.81.194(tmd01) -> 173.194.28.102(US) [port:80],80,http,33050.0,TCP,tmd01,Cluster-1,10.221.162.4,10.221.81.194,,,,173.194.28.102
10.221.81.190(vrni-proxy-v6) -> 10.221.172.3(NSX-Manager-2) [port:22],22,ssh,120.0,TCP,vrni-proxy-v6,Cluster-1,10.221.162.4,10.221.81.190,NSX-Manager-2,Cluster-1,10.221.162.4,10.221.172.3
"10.221.81.194(tmd01) -> 52.139.153.205(Central, HK) [port:443]",443,https,53906.0,TCP,tmd01,Cluster-1,10.221.162.4,10.221.81.194,,,,52.139.153.205
"10.221.81.194(tmd01) -> 40.90.23.154(Washington, US) [port:443]",443,https,21665.0,TCP,tmd01,Cluster-1,10.221.162.4,10.221.81.194,,,,40.90.23.154
10.221.81.194(tmd01) -> 172.217.25.131(US) [port:443],443,https,7418.0,UDP,tmd01,Cluster-1,10.221.162.4,10.221.81.194,,,,172.217.25.131
"10.221.81.194(tmd01) -> 20.188.192.88(Sydney, AU) [port:443]",443,https,88901.0,TCP,tmd01,Cluster-1,10.221.162.4,10.221.81.194,,,,20.188.192.88
10.221.81.194(tmd01) -> 142.250.66.173(US) [port:443],443,https,587869.0,UDP,tmd01,Cluster-1,10.221.162.4,10.221.81.194,,,,142.250.66.173
10.221.81.83(SQLFireServer-mcm52127-150870358386) -> 10.221.81.66(SQLFireLocator-mcm52126-150870354692) [port:10101],10101,,1456532.0,TCP,SQLFireServer-mcm52127-150870358386,Cluster-1,10.221.162.4,10.221.81.83,SQLFireLocator-mcm52126-150870354692,Cluster-1,10.221.162.4,10.221.81.66
